Department|Attrition_Retention 2|Age group|Gender|Job Role|Attrition|Attrition Label|Education|Major|Age|Attrition Count|Attrition %|Attrition Date|Avg. Satisfaction Score|Dynamic Date|Employee No.|Employee Number|Environment Satisfaction|Job Involvement|Job Satisfaction|Monthly Income|Percent Salary Hike|Performance Rating|Relationship Satisfaction|Work Life Balance
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Technical Degree|38||||3.0||E_983|983|3|3|4|5666|13|3|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|35||||3.2||E_984|984|4|3|4|7823|13|3|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Doctoral Degree|Life Sciences|39||||3.0||E_985|985|1|4|3|7880|18|3|4|3
Sales|Ex-Employees|35-44|Female|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|40|1.0|0.010869565|7/8/2021|2.8|7/1/2021|E_986|986|2|4|2|13194|16|3|4|2
Research & Development|Current Employees|45-55|Male|Manufacturing Director|No|Current Employees|Master's Degree|Medical|47||||3.4||E_987|987|3|4|3|5067|19|3|3|4
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Technical Degree|36||||3.0||E_990|990|1|3|4|5079|13|3|4|3
Research & Development|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|Associates Degree|Medical|31|1.0|0.007518797|3/14/2022|2.0|3/1/2022|E_991|991|3|2|1|2321|22|4|1|3
Sales|Current Employees|25-34|Male|Manager|No|Current Employees|Bachelor's Degree|Life Sciences|33||||3.4||E_992|992|4|3|3|17444|11|3|4|3
Research & Development|Ex-Employees|25-34|Female|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|29|1.0|0.007518797|1/3/2022|2.6|1/1/2022|E_994|994|4|2|1|2404|20|4|3|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|High School|Life Sciences|33||||2.6||E_995|995|2|3|4|3452|18|3|1|3
R & D|Current Employees|45-55|Female|Laboratory Technician|No|Current Employees|Master's Degree|Medical|45||||3.6||E_996|996|4|3|4|2270|14|3|4|3
R & D|Current Employees|45-55|Male|Research Director|No|Current Employees|Associates Degree|Medical|50||||3.2||E_997|997|4|3|4|17399|22|4|3|2
R & D|Current Employees|25-34|Female|Healthcare Representative|No|Current Employees|Master's Degree|Other|33||||2.6||E_998|998|3|4|2|5488|13|3|1|3
Research & Development|Current Employees|35-44|Male|Research Director|No|Current Employees|Bachelor's Degree|Medical|41||||2.6||E_999|999|1|3|3|19419|17|3|2|4
R & D|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Master's Degree|Technical Degree|27||||2.6||E_1001|1001|3|3|2|2811|14|3|2|3
Research & Development|Current Employees|45-55|Male|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|45||||2.8||E_1002|1002|4|3|1|3633|15|3|3|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Associates Degree|Life Sciences|47||||3.4||E_1003|1003|4|3|4|4163|17|3|3|3
Research & Development|Ex-Employees|25-34|Female|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|30|1.0|0.007518797|7/31/2021|2.4|7/1/2021|E_1004|1004|1|3|3|2132|11|3|2|3
Research & Development|Current Employees|45-55|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|50||||3.4||E_1005|1005|4|3|3|13973|18|3|4|3
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|High School|Medical|38||||2.6||E_1006|1006|3|3|3|2684|17|3|2|2
Research & Development|Current Employees|45-55|Male|Manufacturing Director|No|Current Employees|Associates Degree|Medical|46||||3.0||E_1007|1007|4|3|3|10845|13|3|2|3
Research & Development|Current Employees|< 25|Female|Manufacturing Director|No|Current Employees|High School|Medical|24||||2.8||E_1009|1009|4|2|3|4377|15|3|2|3
R & D|Ex-Employees|35-44|Male|Laboratory Technician|Yes|Ex-Employees|Master's Degree|Other|35|1.0|0.007518797|3/4/2022|2.4|3/1/2022|E_1010|1010|3|2|2|3743|24|4|4|1
R & D|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|High School|Life Sciences|31||||2.6||E_1011|1011|3|3|1|4148|12|3|3|3
Research & Development|Current Employees|< 25|Male|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|18||||3.2||E_1012|1012|2|3|4|1051|15|3|4|3
Research & Development|Current Employees|45-55|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Technical Degree|54||||3.0||E_1013|1013|3|3|3|10739|11|3|3|3
Research & Development|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Master's Degree|Medical|35||||2.8||E_1014|1014|3|3|3|10388|11|3|3|2
R & D|Current Employees|25-34|Female|Research Director|No|Current Employees|Associates Degree|Life Sciences|30||||2.4||E_1015|1015|2|4|1|11416|12|3|3|2
Research & Development|Ex-Employees|< 25|Female|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Medical|20|1.0|0.007518797|2/25/2022|2.2|2/1/2022|E_1016|1016|4|2|1|2600|15|3|1|3
Research & Development|Ex-Employees|25-34|Female|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Medical|30|1.0|0.007518797|4/4/2022|2.2|4/1/2022|E_1017|1017|2|3|2|2422|17|3|1|3
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|Associates Degree|Medical|26||||3.4||E_1018|1018|4|4|4|5472|12|3|2|3
R & D|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|High School|Life Sciences|22||||1.4||E_1019|1019|2|1|1|2451|15|3|1|2
Research & Development|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Life Sciences|48||||2.6||E_1022|1022|1|2|3|4240|13|3|4|3
R & D|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Master's Degree|Life Sciences|48||||2.6||E_1024|1024|3|2|3|10999|14|3|2|3
R & D|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Associates Degree|Medical|41||||3.0||E_1025|1025|4|3|3|5003|14|3|2|3
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|High School|Life Sciences|39||||3.2||E_1026|1026|4|2|4|12742|16|3|3|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|27||||2.6||E_1027|1027|1|3|4|4227|18|3|2|3
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Other|35||||2.4||E_1028|1028|2|3|4|3917|20|4|1|2
Sales|Current Employees|35-44|Male|Manager|No|Current Employees|Associates Degree|Marketing|42||||3.2||E_1029|1029|4|3|3|18303|13|3|2|4
Research & Development|Current Employees|45-55|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|50||||2.6||E_1030|1030|1|3|4|2380|18|3|2|3
Research & Development|Current Employees|> 55|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|59||||2.6||E_1032|1032|3|2|4|13726|13|3|1|3
Research & Development|Ex-Employees|35-44|Female|Healthcare Representative|Yes|Ex-Employees|Associates Degree|Medical|37|1.0|0.007518797|2/25/2022|1.2|2/1/2022|E_1033|1033|1|1|2|4777|15|3|1|1
Research & Development|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Master's Degree|Medical|55||||3.0||E_1034|1034|3|3|2|6385|14|3|4|3
R & D|Current Employees|35-44|Female|Research Director|No|Current Employees|High School|Life Sciences|41||||2.2||E_1035|1035|2|1|3|19973|22|4|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|38||||3.0||E_1036|1036|2|3|4|6861|12|3|3|3
Sales|Ex-Employees|25-34|Male|Sales Executive|Yes|Ex-Employees|Associates Degree|Medical|26|1.0|0.010869565|10/25/2021|2.2|10/1/2021|E_1037|1037|2|1|1|4969|18|3|4|3
Sales|Ex-Employees|45-55|Female|Manager|Yes|Ex-Employees|High School|Marketing|52|1.0|0.010869565|4/25/2022|2.6|4/1/2022|E_1038|1038|1|1|4|19845|15|3|4|3
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Medical|44||||3.6||E_1039|1039|4|4|4|13320|18|3|3|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|50||||2.8||E_1040|1040|4|3|3|6347|12|3|1|3
Research & Development|Ex-Employees|35-44|Female|Laboratory Technician|Yes|Ex-Employees|Master's Degree|Life Sciences|36|1.0|0.007518797|10/17/2021|2.8|10/1/2021|E_1042|1042|3|4|1|2743|16|3|3|3
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|39||||2.8||E_1043|1043|4|3|1|10880|13|3|3|3
Sales|Current Employees|25-34|Female|Sales Representative|No|Current Employees|High School|Life Sciences|33||||2.8||E_1044|1044|2|2|4|2342|19|3|4|2
Sales|Current Employees|45-55|Female|Manager|No|Current Employees|Associates Degree|Life Sciences|45||||3.4||E_1045|1045|4|3|4|17650|13|3|2|4
Research & Development|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Master's Degree|Medical|32||||3.0||E_1046|1046|4|3|3|4025|12|3|2|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|34||||3.2||E_1047|1047|2|4|4|9725|11|3|4|2
Sales|Current Employees|> 55|Male|Manager|No|Current Employees|Associates Degree|Technical Degree|59||||2.6||E_1048|1048|2|3|4|11904|14|3|3|1
Human Resources|Current Employees|45-55|Male|Human Resources|No|Current Employees|Master's Degree|Medical|45||||2.2||E_1049|1049|2|3|2|2177|16|3|1|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|53||||2.2||E_1050|1050|3|2|2|7525|12|3|1|3
Research & Development|Ex-Employees|35-44|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Other|36|1.0|0.007518797|2/27/2022|2.2|2/1/2022|E_1052|1052|1|3|3|4834|14|3|2|2
R & D|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|26|1.0|0.007518797|4/13/2022|2.0|4/1/2022|E_1053|1053|1|3|1|2042|14|3|2|3
Sales|Current Employees|25-34|Female|Sales Representative|No|Current Employees|Master's Degree|Life Sciences|34||||3.2||E_1055|1055|3|3|3|2220|19|3|4|3
Sales|Current Employees|25-34|Male|Sales Representative|No|Current Employees|High School|Medical|28||||2.8||E_1056|1056|4|3|2|1052|22|4|2|3
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Master's Degree|Other|38||||2.6||E_1060|1060|3|3|3|2821|16|3|1|3
R & D|Current Employees|45-55|Male|Research Director|No|Current Employees|Master's Degree|Medical|50||||2.8||E_1061|1061|2|3|3|19237|11|3|4|2
R & D|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Bachelor's Degree|Other|37||||2.4||E_1062|1062|4|3|2|4107|15|3|1|2
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|40||||2.2||E_1066|1066|3|3|1|8396|14|3|2|2
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|High School|Medical|26||||2.4||E_1068|1068|1|2|3|2007|13|3|3|3
Research & Development|Current Employees|45-55|Male|Research Director|No|Current Employees|Master's Degree|Medical|46||||3.6||E_1069|1069|4|3|4|19627|17|3|4|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|54||||2.6||E_1070|1070|3|2|3|10686|11|3|2|3
R & D|Current Employees|> 55|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|56||||2.4||E_1071|1071|1|3|3|2942|19|3|2|3
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Doctoral Degree|Medical|36||||2.8||E_1073|1073|4|2|4|8858|11|3|2|2
Research & Development|Current Employees|45-55|Male|Manager|No|Current Employees|High School|Medical|55||||2.4||E_1074|1074|3|2|1|16756|15|3|2|4
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Medical|43||||3.0||E_1076|1076|3|2|4|10798|13|3|3|3
Sales|Ex-Employees|< 25|Female|Sales Representative|Yes|Ex-Employees|Bachelor's Degree|Marketing|20|1.0|0.010869565|2/17/2022|3.2|2/1/2022|E_1077|1077|4|3|4|2323|14|3|2|3
Research & Development|Ex-Employees|< 25|Female|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|21|1.0|0.007518797|1/3/2022|1.8|1/1/2022|E_1079|1079|3|2|1|1416|13|3|1|2
Research & Development|Current Employees|45-55|Female|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|46||||2.2||E_1080|1080|4|2|1|4615|23|4|1|3
Research & Development|Ex-Employees|45-55|Male|Research Scientist|Yes|Ex-Employees|Master's Degree|Life Sciences|51|1.0|0.007518797|3/22/2022|2.8|3/1/2022|E_1081|1081|1|3|3|2461|12|3|3|4
Research & Development|Ex-Employees|25-34|Male|Healthcare Representative|Yes|Ex-Employees|Associates Degree|Technical Degree|28|1.0|0.007518797|11/10/2021|1.6|11/1/2021|E_1082|1082|2|2|1|8722|12|3|1|2
R & D|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Medical|26||||1.6||E_1083|1083|1|2|1|3955|16|3|1|3
R & D|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Other|30||||2.4||E_1084|1084|3|3|1|9957|15|3|3|2
R & D|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Associates Degree|Technical Degree|41||||3.0||E_1085|1085|2|4|3|3376|13|3|3|3
R & D|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|High School|Life Sciences|38||||2.2||E_1088|1088|3|2|3|8823|18|3|1|2
R & D|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Master's Degree|Technical Degree|40||||3.0||E_1092|1092|1|3|4|10322|20|4|4|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Doctoral Degree|Life Sciences|27||||2.4||E_1094|1094|1|1|3|4621|19|3|4|3
R & D|Current Employees|45-55|Male|Manufacturing Director|No|Current Employees|High School|Life Sciences|55||||2.8||E_1096|1096|4|3|2|10976|18|3|2|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Other|28||||3.4||E_1097|1097|3|3|3|3660|13|3|4|4
Human Resources|Ex-Employees|35-44|Male|Human Resources|Yes|Ex-Employees|Associates Degree|Medical|44|1.0|0.083333333|5/6/2022|2.4|5/1/2022|E_1098|1098|2|2|1|10482|14|3|4|3
R & D|Current Employees|25-34|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Life Sciences|33||||3.2||E_1099|1099|4|2|4|7119|15|3|3|3
Sales|Ex-Employees|35-44|Male|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Technical Degree|35|1.0|0.010869565|3/10/2022|2.4|3/1/2022|E_1100|1100|4|3|1|9582|22|4|1|3
Research & Development|Ex-Employees|25-34|Female|Research Scientist|Yes|Ex-Employees|Master's Degree|Medical|33|1.0|0.007518797|10/18/2021|2.2|10/1/2021|E_1101|1101|1|2|3|4508|22|4|2|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|28||||2.6||E_1102|1102|1|3|3|2207|16|3|4|2
R & D|Current Employees|25-34|Male|Healthcare Representative|No|Current Employees|High School|Life Sciences|34||||2.6||E_1103|1103|1|3|4|7756|17|3|3|2
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|37||||3.2||E_1105|1105|4|2|4|6694|14|3|3|3
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|High School|Technical Degree|25|1.0|0.007518797|3/10/2022|3.4|3/1/2022|E_1106|1106|4|3|4|3691|15|3|2|4
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Medical|26|1.0|0.007518797|12/17/2021|2.4|12/1/2021|E_1107|1107|1|3|3|2377|20|4|3|2
Research & Development|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Medical|33|1.0|0.007518797|11/19/2021|2.0|11/1/2021|E_1108|1108|1|2|2|2313|20|4|2|3
Research & Development|Current Employees|35-44|Male|Manager|No|Current Employees|Associates Degree|Medical|42||||3.0||E_1109|1109|4|3|1|17665|17|3|4|3
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Medical|28|1.0|0.007518797|5/2/2022|1.8|5/1/2022|E_1111|1111|1|2|2|2596|15|3|1|3
Sales|Ex-Employees|45-55|Male|Sales Executive|Yes|Ex-Employees|Master's Degree|Other|50|1.0|0.010869565|5/4/2022|3.4|5/1/2022|E_1113|1113|4|3|3|4728|14|3|4|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|33||||3.0||E_1114|1114|4|3|2|4302|17|3|3|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|34||||3.2||E_1115|1115|3|2|4|2979|17|3|4|3
Research & Development|Current Employees|45-55|Male|Manager|No|Current Employees|Master's Degree|Medical|48||||2.8||E_1116|1116|1|4|4|16885|22|4|3|2
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|45||||2.8||E_1117|1117|2|2|3|5593|13|3|4|3
R & D|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Master's Degree|Life Sciences|52||||2.8||E_1118|1118|2|3|2|10445|19|3|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|38||||2.6||E_1119|1119|3|2|3|8740|14|3|2|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|29||||2.8||E_1120|1120|3|3|4|2514|22|4|1|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|28||||2.6||E_1121|1121|4|3|2|7655|17|3|2|2
Sales|Current Employees|45-55|Male|Manager|No|Current Employees|High School|Marketing|46||||2.8||E_1124|1124|1|3|3|17465|12|3|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Associates Degree|Marketing|38||||3.0||E_1125|1125|4|3|2|7351|16|3|3|3
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|43||||2.6||E_1126|1126|3|3|1|10820|11|3|3|3
Research & Development|Ex-Employees|35-44|Male|Healthcare Representative|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|39|1.0|0.007518797|4/13/2022|3.0|4/1/2022|E_1127|1127|1|3|4|12169|11|3|4|3
R & D|Current Employees|35-44|Male|Research Director|No|Current Employees|Bachelor's Degree|Medical|40||||2.6||E_1128|1128|3|2|3|19626|14|3|1|4
Research & Development|Current Employees|< 25|Female|Research Scientist|No|Current Employees|High School|Technical Degree|21||||3.0||E_1131|1131|4|2|2|2070|11|3|3|4
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|39||||2.6||E_1132|1132|3|3|2|6782|15|3|3|2
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|36||||2.4||E_1133|1133|1|3|4|7779|20|4|1|3
Sales|Current Employees|25-34|Male|Sales Representative|No|Current Employees|Bachelor's Degree|Life Sciences|31||||3.0||E_1135|1135|3|4|4|2791|12|3|1|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|High School|Life Sciences|28||||1.4||E_1136|1136|1|2|2|3201|17|3|1|1
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Associates Degree|Marketing|35||||3.6||E_1137|1137|4|3|4|4968|11|3|4|3
Sales|Current Employees|45-55|Male|Sales Executive|No|Current Employees|Master's Degree|Technical Degree|49||||2.6||E_1138|1138|4|2|2|13120|17|3|2|3
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|Associates Degree|Life Sciences|34||||3.2||E_1140|1140|4|3|3|4033|11|3|4|2
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|29||||3.0||E_1143|1143|4|3|2|3291|14|3|4|2
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|42||||2.2||E_1148|1148|2|1|4|4272|19|3|1|3
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|High School|Medical|29||||2.6||E_1150|1150|2|2|4|5056|15|3|3|2
Human Resources|Current Employees|35-44|Male|Human Resources|No|Current Employees|Bachelor's Degree|Human Resources|38||||3.6||E_1152|1152|3|4|3|2844|13|3|4|4
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|28||||3.0||E_1154|1154|3|2|3|2703|14|3|4|3
Research & Development|Ex-Employees|< 25|Male|Laboratory Technician|Yes|Ex-Employees|High School|Medical|18|1.0|0.007518797|3/21/2022|3.2|3/1/2022|E_1156|1156|3|3|3|1904|12|3|4|3
Sales|Ex-Employees|25-34|Female|Sales Executive|Yes|Ex-Employees|Master's Degree|Marketing|33|1.0|0.010869565|2/21/2022|1.8|2/1/2022|E_1157|1157|1|3|1|8224|17|3|1|3
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|41||||2.6||E_1158|1158|2|3|4|4766|11|3|1|3
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Medical|31|1.0|0.007518797|1/24/2022|2.8|1/1/2022|E_1160|1160|3|3|3|2610|12|3|3|2
Research & Development|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Associates Degree|Medical|37||||3.0||E_1161|1161|3|2|4|5731|13|3|3|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|27||||3.0||E_1162|1162|4|2|3|2539|13|3|3|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|High School|Life Sciences|34||||2.2||E_1163|1163|2|3|3|5714|20|4|1|2
Human Resources|Current Employees|35-44|Male|Human Resources|No|Current Employees|Master's Degree|Technical Degree|35||||2.4||E_1164|1164|3|3|3|4323|17|3|2|1
Sales|Ex-Employees|25-34|Female|Sales Executive|Yes|Ex-Employees|High School|Life Sciences|29|1.0|0.010869565|7/18/2021|1.8|7/1/2021|E_1165|1165|4|2|1|7336|13|3|1|1
Research & Development|Current Employees|35-44|Female|Research Director|No|Current Employees|Master's Degree|Medical|40||||2.6||E_1166|1166|2|3|3|13499|17|3|3|2
Sales|Ex-Employees|35-44|Male|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|42|1.0|0.010869565|12/4/2021|2.2|12/1/2021|E_1167|1167|3|3|1|13758|12|3|2|2
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|42||||2.8||E_1171|1171|2|3|1|5155|13|3|4|4
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Master's Degree|Medical|35||||2.8||E_1172|1172|4|2|3|2258|12|3|2|3
Research & Development|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|24||||3.2||E_1173|1173|4|3|2|3597|22|4|4|3
R & D|Ex-Employees|25-34|Female|Laboratory Technician|Yes|Ex-Employees|High School|Life Sciences|28|1.0|0.007518797|12/8/2021|3.2|12/1/2021|E_1175|1175|3|3|4|2515|11|3|4|2
R & D|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Master's Degree|Medical|26||||2.8||E_1177|1177|1|4|4|4420|22|4|2|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|30||||2.4||E_1179|1179|3|2|3|6578|18|3|1|3
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Associates Degree|Medical|40||||2.8||E_1180|1180|3|2|4|4422|13|3|4|1
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|35||||2.6||E_1182|1182|3|2|2|10274|18|3|2|4
R & D|Current Employees|25-34|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Medical|34||||2.6||E_1184|1184|4|2|1|5343|20|4|3|3
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Master's Degree|Other|35||||3.2||E_1185|1185|4|2|4|2376|13|3|2|4
Sales|Ex-Employees|35-44|Female|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Marketing|43|1.0|0.010869565|2/21/2022|1.8|2/1/2022|E_1188|1188|1|1|3|5346|13|3|2|2
Sales|Current Employees|25-34|Female|Sales Representative|No|Current Employees|High School|Life Sciences|32||||2.6||E_1190|1190|3|3|1|2827|12|3|3|3
Research & Development|Current Employees|> 55|Female|Manager|No|Current Employees|Master's Degree|Technical Degree|56||||3.0||E_1191|1191|4|3|1|19943|13|3|4|3
Research & Development|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|High School|Medical|29||||2.6||E_1192|1192|2|3|4|3131|13|3|1|3
Research & Development|Current Employees|< 25|Male|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|19||||2.6||E_1193|1193|3|3|1|2552|25|4|3|3
Research & Development|Current Employees|45-55|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|45||||2.4||E_1195|1195|1|3|3|4477|19|3|3|2
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|37||||2.8||E_1196|1196|4|2|4|6474|13|3|2|2
R & D|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|20||||1.8||E_1198|1198|1|2|3|3033|12|3|1|2
Research & Development|Ex-Employees|35-44|Male|Research Scientist|Yes|Ex-Employees|Master's Degree|Life Sciences|44|1.0|0.007518797|1/3/2022|3.0|1/1/2022|E_1200|1200|3|3|3|2936|11|3|3|3
R & D|Current Employees|45-55|Female|Manager|No|Current Employees|Associates Degree|Medical|53||||3.0||E_1201|1201|4|3|3|18606|18|3|2|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|High School|Life Sciences|29||||2.0||E_1202|1202|2|1|4|2168|18|3|1|2
Research & Development|Ex-Employees|< 25|Male|Research Scientist|Yes|Ex-Employees|Master's Degree|Life Sciences|22|1.0|0.007518797|3/31/2022|2.8|3/1/2022|E_1203|1203|3|2|4|2853|11|3|2|3
Sales|Current Employees|45-55|Female|Manager|No|Current Employees|Bachelor's Degree|Marketing|46||||2.2||E_1204|1204|3|3|1|17048|23|4|1|3
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|44||||3.0||E_1206|1206|4|1|3|2290|13|3|4|3
Human Resources|Current Employees|25-34|Male|Human Resources|No|Current Employees|Bachelor's Degree|Human Resources|33||||3.0||E_1207|1207|2|3|3|3600|13|3|4|3
Research & Development|Ex-Employees|35-44|Male|Research Scientist|Yes|Ex-Employees|Associates Degree|Life Sciences|41|1.0|0.007518797|3/12/2022|1.2|3/1/2022|E_1210|1210|1|2|1|2107|17|3|1|1
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|30||||2.6||E_1211|1211|3|3|1|4115|19|3|3|3
